Longitude;Latitude;geohash;unique_prefix
-58.41;-34.58;69y7qbghuk7q;69y7qbg
-58.38;-34.6;69y7pt2brku1;69y7pt2
-58.44;-34.57;69y7q4tr1kfx;69y7q4t
-58.4;-34.6;69y7pj62mkf9;69y7pj6
-58.37;-34.61;69y7pg2q0kq0;69y7pg2
-58.46;-34.54;69y7t8ntzm1h;69y7t8n
-58.41;-34.59;69y7nz54ske7;69y7nz5
-58.41;-34.6;69y7nv70kkg3;69y7nv7
-58.48;-34.58;69y7m2bhvhry;69y7m2b
-58.4;-34.59;69y7pp46tkde;69y7pp4
-58.4;-34.77;69y6pn66j64s;69y6pn6
-58.49;-34.55;69y7mn2gsjmd;69y7mn2
-58.38;-34.6;69y7pt2brku1;69y7pt2
-58.44;-34.6;69y7njm23kf9;69y7njm
-58.39;-34.6;69y7pm38qkuc;69y7pm3
-58.44;-34.57;69y7q4tr1kfx;69y7q4t
-58.44;-34.62;69y7n1t7ck6w;69y7n1t
-58.45;-34.55;69y7myq58m2d;69y7myq
-58.37;-34.6;69y7pv222ky1;69y7pv2
-68.84;-32.89;66phcs81zgdr;66phcs8
-68.84;-32.88;66phcw2hpgd3;66phcw2
-68.78;-32.9;66phffeztg5w;66phffe
-68.84;-32.89;66phcs81zgdr;66phcs8
-68.83;-32.92;66ph9xpe0ewc;66ph9xp
-60.65;-32.94;6dhuegkn8e1n;6dhuegk
-60.67;-32.93;6dhuemm2ye42;6dhuemm
-60.7;-32.96;6dhu6xzd56yg;6dhu6xz
-64.31;-31.32;6d6mbd6gu2yh;6d6mbd6
-64.2;-31.44;6d6m5hdbxxhe;6d6m5hd
-64.19;-31.41;6d6m73fr2x9h;6d6m73f
-64.24;-31.36;6d6md5jfg81v;6d6md5j
-64.2;-31.41;6d6m71fzrxss;6d6m71f
-64.2;-31.44;6d6m5hdbxxhe;6d6m5hd
16.32;48.11;u2e9eq5v5d1u;u2e9eq5
13.01;47.82;u292013edyp3;u292013
13.04;47.8;u23rbtxrnj8w;u23rbtx
13.05;47.81;u23rbzw9rn1r;u23rbzw
16.56;48.13;u2ecbcf9efqx;u2ecbcf
16.35;48.2;u2edhn99qe7u;u2edhn9
